City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,zhoucheng,CN,83.01,overcast clouds,35.9122,116.3117,Yingbin Restaurant
84,mana,GF,77.14,overcast clouds,5.6592,-53.7767,LE SAMANA
86,nouakchott,MR,75.13,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
88,grajau,BR,82.11,broken clouds,-5.8194,-46.1386,Hotel Confiança
89,ipixuna,BR,80.55,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
90,jambusar,IN,86.05,clear sky,22.05,72.8,Hotel Imeprial
91,along,IN,74.05,overcast clouds,28.1667,94.7667,Hotel West
92,ewa beach,US,81.01,light rain,21.3156,-158.0072,Uncle Junior Robert
93,komsomolskiy,UZ,78.15,clear sky,40.4272,71.7189,Ikathouse
94,kapurthala,IN,78.75,clear sky,31.3794,75.3847,Ramneek Hotel
95,boma,GH,74.44,broken clouds,7.0805,-2.1697,Obaatanpa Hotel
96,road town,VG,79.2,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
97,tanete,ID,73.63,broken clouds,-3.9443,119.7848,Wisma Tri Multi
98,hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
99,victoria,HK,82.45,light rain,22.2855,114.1577,Mini Hotel Central
100,warri,NG,73.24,overcast clouds,5.5167,5.75,BON Hotel Delta
101,lahan,NP,79.48,overcast clouds,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
102,paita,PE,71.33,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
103,hermiston,US,75.11,overcast clouds,45.8404,-119.2895,Oxford Suites Hermiston
104,kahului,US,86.74,clear sky,20.8947,-156.47,Maui Seaside Hotel
105,tual,ID,81.88,broken clouds,-5.6667,132.75,Grand Vilia Hotel
106,padang,ID,76.06,broken clouds,-0.9492,100.3543,Mercure Padang
107,kavieng,PG,82.31,light rain,-2.5744,150.7967,Nusa Island Retreat
109,galle,LK,80.51,broken clouds,6.0367,80.217,Amangalla
111,aguimes,ES,75.83,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
112,alofi,NU,75.72,scattered clouds,-19.0595,-169.9187,Taloa Heights
113,itupiranga,BR,82.72,overcast clouds,-5.1347,-49.3267,Hotel Panorama
114,karpathos,GR,70.03,clear sky,35.507,27.2132,Alex
115,arecibo,PR,84.58,overcast clouds,18.4724,-66.7157,Atlantic Sand Oasis
116,saint-georges,GD,79.77,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
117,puerto el triunfo,SV,84.36,broken clouds,13.2833,-88.55,Hotel Jardin
118,vanimo,PG,78.04,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
119,arenapolis,BR,71.02,overcast clouds,-14.4503,-56.8461,Mato Grosso Hotel
121,turayf,SA,73.72,clear sky,31.6725,38.6637,Turaif
122,salinopolis,BR,76.3,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
123,cockburn town,TC,80.71,few clouds,21.4612,-71.1419,Osprey Beach Hotel
124,nakhon phanom,TH,76.12,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
125,dorado,PR,84.47,broken clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
126,teluknaga,ID,78.19,overcast clouds,-6.0989,106.6381,Bale Ocasa hotel
127,payo,ID,71.02,overcast clouds,-3.7508,103.6372,Mess keban agung
128,puerto colombia,CO,82.22,broken clouds,10.9878,-74.9547,Hotel El Emigrante
129,half moon bay,US,82.62,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
130,lac du bonnet,CA,72.59,broken clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
131,wanning,CN,79.61,light rain,18.8003,110.3967,Paradise Hotel
132,cap malheureux,MU,75.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
133,eyl,SO,78.91,broken clouds,7.9803,49.8164,Amiin Hotel
134,lorengau,PG,81.01,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
135,mae sai,TH,75.43,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
136,la primavera,CO,78.69,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
137,carutapera,BR,74.52,light rain,-1.195,-46.02,Lidera
138,meulaboh,ID,76.86,overcast clouds,4.1363,96.1285,Kost Pria
139,mayumba,GA,75.76,overcast clouds,-3.432,10.6554,LIKWALE LODGE
140,panuco,MX,86.18,overcast clouds,22.05,-98.1667,Hotel Plaza
141,bapatla,IN,83.68,overcast clouds,15.9,80.4667,Kumar Hotel
142,karratha,AU,73.08,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
143,manggar,ID,81.03,overcast clouds,-2.8833,108.2667,Guest Hotel
144,saint-joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
145,trairi,BR,79.16,scattered clouds,-3.2778,-39.2689,janelas do mar
146,tahta,EG,89.78,clear sky,26.7693,31.5021,El Salam Hotel
147,red bluff,US,81.91,overcast clouds,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
148,casper,US,76.8,scattered clouds,42.8666,-106.3131,Ramkota Hotel
149,tuy hoa,VN,80.22,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
150,funadhoo,MV,82.27,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
151,kieta,PG,83.05,few clouds,-6.2167,155.6333,Uruna Bay Retreat
152,maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
153,barabai,ID,72.95,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
154,merrill,US,83.68,clear sky,45.1805,-89.6835,Prairie Motel
155,porto novo,BJ,79.93,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
156,omboue,GA,76.77,overcast clouds,-1.5746,9.2618,Hotel Olako
157,namatanai,PG,81.55,light rain,-3.6667,152.4333,Seagulls Inn Namatani
158,machhlishahr,IN,86.16,scattered clouds,25.6833,82.4167,Dulhan pelece
159,maragogi,BR,75.31,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
160,luwuk,ID,77.4,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
161,kochinda,IN,79.43,overcast clouds,21.7333,84.35,Shristi Lodge
162,butwal,NP,77.97,overcast clouds,27.7006,83.4484,Hotel Sindoor Pvt. Ltd.
163,faya,SA,72.48,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
164,auki,SB,81.68,scattered clouds,-8.7676,160.7034,Auki Motel
