City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
842,khuzhir,RU,53.1939,107.3397,44.28,85,28,1.12,scattered clouds
843,amalapuram,IN,16.5833,82.0167,77.27,84,100,9.19,light rain
844,saldanha,ZA,-33.0117,17.9442,51.85,84,98,6.49,overcast clouds
845,tikhvin,RU,59.6451,33.5294,58.95,74,100,4.25,overcast clouds
846,alamosa,US,37.4695,-105.87,84.65,8,0,15.43,clear sky
847,hlobyne,UA,49.3878,33.2596,58.62,95,88,7.02,overcast clouds
848,sitka,US,57.0531,-135.33,58.3,67,98,6.08,overcast clouds
849,las cruces,US,32.3123,-106.7783,107.01,6,1,4.0,clear sky
850,hasaki,JP,35.7333,140.8333,72.28,72,100,9.55,overcast clouds
851,skibbereen,IE,51.55,-9.2667,57.0,90,74,9.33,broken clouds
852,firminy,FR,45.3873,4.2907,71.62,72,0,2.3,clear sky
853,puerto escondido,MX,15.85,-97.0667,76.5,87,100,5.53,overcast clouds
854,clovis,US,36.8252,-119.7029,89.37,25,0,1.99,clear sky
855,lucapa,AO,-8.4192,20.7447,66.79,48,3,4.14,clear sky
856,melilla,ES,35.2937,-2.9383,70.18,88,0,3.44,clear sky
857,verkhnyaya inta,RU,65.9811,60.3094,59.36,53,100,13.8,overcast clouds
858,dunedin,NZ,-45.8742,170.5036,48.79,88,0,3.71,clear sky
859,dingle,PH,10.9995,122.6711,76.91,91,76,0.38,broken clouds
860,high level,CA,58.5169,-117.136,60.91,59,75,9.22,light rain
861,taltal,CL,-25.4,-70.4833,61.61,77,23,2.39,few clouds
862,imeni poliny osipenko,RU,52.4201,136.4853,52.7,84,100,13.11,overcast clouds
863,saurimo,AO,-9.6608,20.3916,61.52,46,0,5.46,clear sky
864,thesprotikon,GR,39.25,20.7847,64.36,85,46,5.5,scattered clouds
865,guerrero negro,MX,27.9769,-114.0611,69.96,59,2,22.53,clear sky
866,katsuura,JP,35.1333,140.3,72.19,72,100,8.41,overcast clouds
867,abu samrah,SY,35.3029,37.1841,66.36,73,0,13.89,clear sky
868,pando,UY,-34.7167,-55.95,50.99,57,0,5.75,light rain
869,axim,GH,4.8699,-2.2405,79.84,82,18,10.13,few clouds
870,domat,CH,46.8348,9.4508,63.07,92,12,1.92,few clouds
871,kloulklubed,PW,7.0419,134.2556,79.3,73,99,11.48,overcast clouds
